,record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight,genus,species,taxa
0,1,7,16,1977,2,NL,M,32.0,,Neotoma,albigula,Rodent
1,2,7,16,1977,3,NL,M,33.0,,Neotoma,albigula,Rodent
2,22,7,17,1977,15,NL,F,31.0,,Neotoma,albigula,Rodent
3,38,7,17,1977,17,NL,M,33.0,,Neotoma,albigula,Rodent
4,72,8,19,1977,2,NL,M,31.0,,Neotoma,albigula,Rodent
5,106,8,20,1977,12,NL,,,,Neotoma,albigula,Rodent
6,107,8,20,1977,18,NL,,,,Neotoma,albigula,Rodent
7,121,8,21,1977,15,NL,,,,Neotoma,albigula,Rodent
8,171,9,11,1977,12,NL,,,,Neotoma,albigula,Rodent
9,194,9,12,1977,11,NL,,,,Neotoma,albigula,Rodent
10,214,9,12,1977,17,NL,,,,Neotoma,albigula,Rodent
11,224,9,13,1977,2,NL,,,,Neotoma,albigula,Rodent
12,266,10,16,1977,2,NL,,,,Neotoma,albigula,Rodent
13,272,10,16,1977,18,NL,,,,Neotoma,albigula,Rodent
14,281,10,16,1977,20,NL,,,,Neotoma,albigula,Rodent
15,282,10,16,1977,22,NL,,,,Neotoma,albigula,Rodent
16,297,10,17,1977,11,NL,,,,Neotoma,albigula,Rodent
17,314,10,17,1977,14,NL,,,,Neotoma,albigula,Rodent
18,344,10,18,1977,3,NL,,,,Neotoma,albigula,Rodent
19,349,11,12,1977,2,NL,,,,Neotoma,albigula,Rodent
20,353,11,12,1977,18,NL,,,,Neotoma,albigula,Rodent
21,363,11,12,1977,2,NL,,,,Neotoma,albigula,Rodent
22,390,11,13,1977,11,NL,,,,Neotoma,albigula,Rodent
23,393,11,13,1977,14,NL,,,,Neotoma,albigula,Rodent
24,406,11,14,1977,12,NL,,,,Neotoma,albigula,Rodent
25,435,12,10,1977,2,NL,,,,Neotoma,albigula,Rodent
26,465,12,11,1977,5,NL,,,,Neotoma,albigula,Rodent
27,469,12,11,1977,12,NL,,,,Neotoma,albigula,Rodent
28,475,12,11,1977,11,NL,,,,Neotoma,albigula,Rodent
29,486,12,11,1977,14,NL,,,,Neotoma,albigula,Rodent
30,495,12,11,1977,17,NL,,,,Neotoma,albigula,Rodent
31,506,1,8,1978,2,NL,,,,Neotoma,albigula,Rodent
32,509,1,8,1978,3,NL,,,,Neotoma,albigula,Rodent
33,531,1,8,1978,20,NL,,,,Neotoma,albigula,Rodent
34,546,1,9,1978,11,NL,,,,Neotoma,albigula,Rodent
35,554,1,9,1978,14,NL,,,,Neotoma,albigula,Rodent
36,565,1,10,1978,12,NL,,,,Neotoma,albigula,Rodent
37,588,2,18,1978,2,NL,M,,218.0,Neotoma,albigula,Rodent
38,629,2,19,1978,14,NL,,,197.0,Neotoma,albigula,Rodent
39,646,2,20,1978,18,NL,M,32.0,228.0,Neotoma,albigula,Rodent
40,655,3,11,1978,3,NL,M,32.0,232.0,Neotoma,albigula,Rodent
41,661,3,11,1978,2,NL,,,,Neotoma,albigula,Rodent
42,736,4,8,1978,6,NL,M,,,Neotoma,albigula,Rodent
43,748,4,8,1978,2,NL,,,,Neotoma,albigula,Rodent
44,755,4,8,1978,3,NL,F,32.0,,Neotoma,albigula,Rodent
45,825,4,10,1978,18,NL,M,,225.0,Neotoma,albigula,Rodent
46,845,5,6,1978,2,NL,M,32.0,204.0,Neotoma,albigula,Rodent
47,848,5,6,1978,22,NL,M,32.0,212.0,Neotoma,albigula,Rodent
48,869,5,17,1978,20,NL,F,33.0,174.0,Neotoma,albigula,Rodent
49,875,5,17,1978,5,NL,F,33.0,212.0,Neotoma,albigula,Rodent
50,886,5,18,1978,3,NL,F,,182.0,Neotoma,albigula,Rodent
51,971,6,8,1978,17,NL,F,32.0,135.0,Neotoma,albigula,Rodent
52,990,6,9,1978,2,NL,M,,200.0,Neotoma,albigula,Rodent
53,1029,6,9,1978,18,NL,M,32.0,232.0,Neotoma,albigula,Rodent
54,1081,7,8,1978,14,NL,M,33.0,113.0,Neotoma,albigula,Rodent
55,1083,7,8,1978,3,NL,F,34.0,115.0,Neotoma,albigula,Rodent
56,1087,7,8,1978,3,NL,M,34.0,190.0,Neotoma,albigula,Rodent
57,1119,8,4,1978,12,NL,M,33.0,189.0,Neotoma,albigula,Rodent
58,1131,8,4,1978,20,NL,F,33.0,179.0,Neotoma,albigula,Rodent
59,1146,8,4,1978,17,NL,F,32.0,149.0,Neotoma,albigula,Rodent
60,1164,8,5,1978,2,NL,M,34.0,199.0,Neotoma,albigula,Rodent
61,1168,8,5,1978,15,NL,F,31.0,196.0,Neotoma,albigula,Rodent
62,1197,9,3,1978,12,NL,F,,158.0,Neotoma,albigula,Rodent
63,1204,9,3,1978,12,NL,M,,189.0,Neotoma,albigula,Rodent
64,1220,9,3,1978,20,NL,F,31.0,181.0,Neotoma,albigula,Rodent
65,1250,9,4,1978,3,NL,F,34.0,141.0,Neotoma,albigula,Rodent
66,1261,9,4,1978,2,NL,M,32.0,197.0,Neotoma,albigula,Rodent
67,1285,9,4,1978,14,NL,M,32.0,118.0,Neotoma,albigula,Rodent
68,1319,10,7,1978,12,NL,,,,Neotoma,albigula,Rodent
69,1337,10,7,1978,12,NL,,,,Neotoma,albigula,Rodent
70,1345,10,7,1978,20,NL,,,,Neotoma,albigula,Rodent
71,1361,10,8,1978,3,NL,,,,Neotoma,albigula,Rodent
72,1374,10,8,1978,2,NL,,,,Neotoma,albigula,Rodent
73,1377,10,8,1978,14,NL,,,,Neotoma,albigula,Rodent
74,1453,11,5,1978,2,NL,M,,218.0,Neotoma,albigula,Rodent
75,1465,11,5,1978,14,NL,M,32.0,153.0,Neotoma,albigula,Rodent
76,1490,12,2,1978,12,NL,M,32.0,223.0,Neotoma,albigula,Rodent
77,1512,12,2,1978,20,NL,F,31.0,181.0,Neotoma,albigula,Rodent
78,1530,12,3,1978,14,NL,M,,169.0,Neotoma,albigula,Rodent
79,1729,4,28,1979,12,NL,F,31.0,86.0,Neotoma,albigula,Rodent
80,1731,4,28,1979,12,NL,F,32.0,239.0,Neotoma,albigula,Rodent
81,1756,4,29,1979,2,NL,M,33.0,166.0,Neotoma,albigula,Rodent
82,1763,4,29,1979,18,NL,F,30.0,126.0,Neotoma,albigula,Rodent
83,1776,4,29,1979,4,NL,M,32.0,101.0,Neotoma,albigula,Rodent
84,1782,5,29,1979,12,NL,M,27.0,66.0,Neotoma,albigula,Rodent
85,1784,5,29,1979,12,NL,M,30.0,72.0,Neotoma,albigula,Rodent
86,1798,5,29,1979,12,NL,M,29.0,70.0,Neotoma,albigula,Rodent
87,1807,5,29,1979,20,NL,M,27.0,40.0,Neotoma,albigula,Rodent
88,1818,5,30,1979,2,NL,M,32.0,184.0,Neotoma,albigula,Rodent
89,1863,7,3,1979,20,NL,F,30.0,94.0,Neotoma,albigula,Rodent
90,1882,7,4,1979,2,NL,M,32.0,206.0,Neotoma,albigula,Rodent
91,1914,7,24,1979,20,NL,F,30.0,116.0,Neotoma,albigula,Rodent
92,1928,7,25,1979,14,NL,M,36.0,151.0,Neotoma,albigula,Rodent
93,1966,8,21,1979,20,NL,F,30.0,136.0,Neotoma,albigula,Rodent
94,1982,8,22,1979,12,NL,F,29.0,72.0,Neotoma,albigula,Rodent
95,1993,8,22,1979,17,NL,F,30.0,105.0,Neotoma,albigula,Rodent
96,2025,9,22,1979,20,NL,F,31.0,152.0,Neotoma,albigula,Rodent
97,2078,10,24,1979,12,NL,F,32.0,92.0,Neotoma,albigula,Rodent
98,2081,10,24,1979,12,NL,F,32.0,211.0,Neotoma,albigula,Rodent
99,2102,10,24,1979,17,NL,M,32.0,133.0,Neotoma,albigula,Rodent
100,2107,10,24,1979,20,NL,M,32.0,171.0,Neotoma,albigula,Rodent
101,2133,10,25,1979,2,NL,F,33.0,274.0,Neotoma,albigula,Rodent
102,2174,11,17,1979,14,NL,F,31.0,109.0,Neotoma,albigula,Rodent
103,2184,11,17,1979,2,NL,F,30.0,186.0,Neotoma,albigula,Rodent
104,2191,11,17,1979,17,NL,M,31.0,153.0,Neotoma,albigula,Rodent
105,2211,11,18,1979,11,NL,F,33.0,122.0,Neotoma,albigula,Rodent
106,2216,11,18,1979,13,NL,F,31.0,168.0,Neotoma,albigula,Rodent
107,2231,11,18,1979,19,NL,F,33.0,122.0,Neotoma,albigula,Rodent
108,2247,11,18,1979,12,NL,F,33.0,217.0,Neotoma,albigula,Rodent
109,2305,1,15,1980,12,NL,F,32.0,214.0,Neotoma,albigula,Rodent
110,2311,1,15,1980,12,NL,F,32.0,114.0,Neotoma,albigula,Rodent
111,2329,1,15,1980,17,NL,M,35.0,187.0,Neotoma,albigula,Rodent
112,2346,1,16,1980,5,NL,M,35.0,239.0,Neotoma,albigula,Rodent
113,2350,1,16,1980,6,NL,M,35.0,241.0,Neotoma,albigula,Rodent
114,2362,1,16,1980,17,NL,M,32.0,168.0,Neotoma,albigula,Rodent
115,2395,1,16,1980,14,NL,F,33.0,120.0,Neotoma,albigula,Rodent
116,2406,1,16,1980,2,NL,F,33.0,184.0,Neotoma,albigula,Rodent
117,2498,2,25,1980,24,NL,F,34.0,170.0,Neotoma,albigula,Rodent
118,2522,2,25,1980,14,NL,F,32.0,147.0,Neotoma,albigula,Rodent
119,2558,3,9,1980,12,NL,M,,74.0,Neotoma,albigula,Rodent
120,2694,3,9,1980,20,NL,M,,177.0,Neotoma,albigula,Rodent
121,2728,3,9,1980,2,NL,F,,,Neotoma,albigula,Rodent
122,2732,3,9,1980,20,NL,M,,212.0,Neotoma,albigula,Rodent
123,2742,3,9,1980,6,NL,,,243.0,Neotoma,albigula,Rodent
124,2751,3,21,1980,12,NL,M,,97.0,Neotoma,albigula,Rodent
125,2904,4,18,1980,18,NL,F,,110.0,Neotoma,albigula,Rodent
126,2927,5,17,1980,24,NL,M,,109.0,Neotoma,albigula,Rodent
127,2932,5,17,1980,1,NL,M,30.0,119.0,Neotoma,albigula,Rodent
128,2952,5,17,1980,20,NL,M,32.0,207.0,Neotoma,albigula,Rodent
129,2992,5,18,1980,14,NL,F,33.0,189.0,Neotoma,albigula,Rodent
130,2994,5,18,1980,18,NL,M,32.0,73.0,Neotoma,albigula,Rodent
131,2999,5,18,1980,14,NL,M,32.0,98.0,Neotoma,albigula,Rodent
132,3000,5,18,1980,2,NL,F,31.0,87.0,Neotoma,albigula,Rodent
133,3001,5,18,1980,18,NL,F,30.0,75.0,Neotoma,albigula,Rodent
134,3002,5,18,1980,2,NL,F,33.0,174.0,Neotoma,albigula,Rodent
135,3032,5,25,1980,5,NL,F,,135.0,Neotoma,albigula,Rodent
136,3058,6,22,1980,24,NL,F,34.0,187.0,Neotoma,albigula,Rodent
137,3074,6,22,1980,20,NL,M,32.0,209.0,Neotoma,albigula,Rodent
138,3087,6,23,1980,13,NL,M,35.0,241.0,Neotoma,albigula,Rodent
139,3089,6,23,1980,3,NL,F,32.0,150.0,Neotoma,albigula,Rodent
140,3123,7,21,1980,24,NL,F,29.0,75.0,Neotoma,albigula,Rodent
141,3133,7,21,1980,24,NL,F,34.0,191.0,Neotoma,albigula,Rodent
142,3145,7,21,1980,20,NL,M,32.0,207.0,Neotoma,albigula,Rodent
143,3162,7,22,1980,14,NL,F,33.0,80.0,Neotoma,albigula,Rodent
144,3195,8,13,1980,24,NL,F,31.0,108.0,Neotoma,albigula,Rodent
145,3212,8,13,1980,11,NL,M,31.0,83.0,Neotoma,albigula,Rodent
146,3216,8,14,1980,3,NL,F,33.0,154.0,Neotoma,albigula,Rodent
147,3217,8,14,1980,12,NL,F,33.0,173.0,Neotoma,albigula,Rodent
148,3251,9,7,1980,24,NL,F,33.0,139.0,Neotoma,albigula,Rodent
149,3272,9,7,1980,11,NL,M,31.0,143.0,Neotoma,albigula,Rodent
150,3290,9,7,1980,20,NL,M,,205.0,Neotoma,albigula,Rodent
151,3300,9,8,1980,12,NL,F,32.0,172.0,Neotoma,albigula,Rodent
152,3343,10,11,1980,1,NL,M,31.0,171.0,Neotoma,albigula,Rodent
153,3351,10,11,1980,20,NL,M,31.0,212.0,Neotoma,albigula,Rodent
154,3374,10,12,1980,12,NL,F,33.0,200.0,Neotoma,albigula,Rodent
155,3412,11,8,1980,24,NL,F,34.0,193.0,Neotoma,albigula,Rodent
156,3426,11,8,1980,13,NL,F,31.0,124.0,Neotoma,albigula,Rodent
157,3429,11,8,1980,1,NL,M,33.0,153.0,Neotoma,albigula,Rodent
158,3440,11,8,1980,20,NL,M,33.0,191.0,Neotoma,albigula,Rodent
159,3511,11,9,1980,12,NL,F,31.0,193.0,Neotoma,albigula,Rodent
160,3552,12,15,1980,24,NL,F,33.0,198.0,Neotoma,albigula,Rodent
161,3557,12,15,1980,1,NL,M,33.0,174.0,Neotoma,albigula,Rodent
162,3649,12,16,1980,13,NL,F,31.0,120.0,Neotoma,albigula,Rodent
163,3650,12,16,1980,12,NL,F,33.0,189.0,Neotoma,albigula,Rodent
164,3669,12,16,1980,18,NL,F,35.0,189.0,Neotoma,albigula,Rodent
165,3679,12,16,1980,11,NL,M,31.0,116.0,Neotoma,albigula,Rodent
166,3691,1,11,1981,13,NL,F,29.0,118.0,Neotoma,albigula,Rodent
167,3693,1,11,1981,24,NL,F,32.0,192.0,Neotoma,albigula,Rodent
168,3747,1,12,1981,4,NL,F,33.0,200.0,Neotoma,albigula,Rodent
169,3777,1,12,1981,1,NL,M,35.0,173.0,Neotoma,albigula,Rodent
170,3785,1,12,1981,12,NL,F,33.0,199.0,Neotoma,albigula,Rodent
171,3814,1,31,1981,12,NL,F,32.0,195.0,Neotoma,albigula,Rodent
172,3816,1,31,1981,13,NL,F,30.0,135.0,Neotoma,albigula,Rodent
173,3839,1,31,1981,20,NL,M,32.0,218.0,Neotoma,albigula,Rodent
174,3887,2,1,1981,1,NL,M,34.0,174.0,Neotoma,albigula,Rodent
175,3935,3,8,1981,20,NL,M,36.0,223.0,Neotoma,albigula,Rodent
176,3997,3,9,1981,1,NL,M,34.0,177.0,Neotoma,albigula,Rodent
177,4054,4,5,1981,12,NL,F,,231.0,Neotoma,albigula,Rodent
178,4129,4,5,1981,14,NL,M,29.0,55.0,Neotoma,albigula,Rodent
179,4156,4,5,1981,20,NL,M,,192.0,Neotoma,albigula,Rodent
180,4302,4,6,1981,18,NL,M,,220.0,Neotoma,albigula,Rodent
181,4373,5,3,1981,24,NL,F,33.0,251.0,Neotoma,albigula,Rodent
182,4395,5,3,1981,18,NL,F,32.0,56.0,Neotoma,albigula,Rodent
183,4411,5,3,1981,24,NL,F,33.0,208.0,Neotoma,albigula,Rodent
184,4500,6,4,1981,14,NL,M,32.0,87.0,Neotoma,albigula,Rodent
185,4510,6,4,1981,14,NL,M,34.0,91.0,Neotoma,albigula,Rodent
186,4536,6,4,1981,14,NL,F,31.0,85.0,Neotoma,albigula,Rodent
187,4561,6,5,1981,18,NL,F,32.0,105.0,Neotoma,albigula,Rodent
188,4568,6,5,1981,24,NL,M,33.0,136.0,Neotoma,albigula,Rodent
189,4584,6,5,1981,18,NL,M,32.0,123.0,Neotoma,albigula,Rodent
190,4604,7,7,1981,17,NL,F,31.0,126.0,Neotoma,albigula,Rodent
191,4618,7,7,1981,24,NL,M,34.0,137.0,Neotoma,albigula,Rodent
192,4624,7,7,1981,1,NL,M,32.0,125.0,Neotoma,albigula,Rodent
193,4649,7,8,1981,15,NL,M,,158.0,Neotoma,albigula,Rodent
194,4667,7,8,1981,2,NL,F,30.0,130.0,Neotoma,albigula,Rodent
195,4676,7,8,1981,18,NL,F,31.0,76.0,Neotoma,albigula,Rodent
196,4692,7,30,1981,15,NL,M,33.0,174.0,Neotoma,albigula,Rodent
197,4713,7,30,1981,4,NL,M,34.0,175.0,Neotoma,albigula,Rodent
198,4756,8,30,1981,24,NL,M,,193.0,Neotoma,albigula,Rodent
199,4759,8,30,1981,24,NL,F,33.0,162.0,Neotoma,albigula,Rodent
200,4782,8,30,1981,11,NL,F,32.0,172.0,Neotoma,albigula,Rodent
201,4798,8,31,1981,8,NL,M,31.0,173.0,Neotoma,albigula,Rodent
202,4803,8,31,1981,9,NL,M,31.0,156.0,Neotoma,albigula,Rodent
203,4831,9,29,1981,21,NL,F,32.0,165.0,Neotoma,albigula,Rodent
204,4837,9,30,1981,5,NL,F,32.0,185.0,Neotoma,albigula,Rodent
205,4838,9,30,1981,11,NL,M,31.0,155.0,Neotoma,albigula,Rodent
206,4846,9,30,1981,11,NL,F,32.0,160.0,Neotoma,albigula,Rodent
